,threshold,recall,precision
0,0.0,1.0,0.007345491388044579
1,0.03,0.8275862068965517,0.3956043956043956
2,0.06,0.8045977011494253,0.49295774647887325
3,0.09,0.7988505747126436,0.5720164609053497
4,0.12,0.7758620689655172,0.6221198156682027
5,0.15,0.7586206896551724,0.6439024390243903
6,0.18,0.7471264367816092,0.6701030927835051
7,0.21,0.735632183908046,0.6772486772486772
8,0.24,0.7298850574712644,0.7134831460674157
9,0.27,0.7298850574712644,0.7341040462427746
10,0.3,0.7298850574712644,0.7559523809523809
11,0.32999999999999996,0.7183908045977011,0.7716049382716049
12,0.36,0.7183908045977011,0.7763975155279503
13,0.39,0.7068965517241379,0.7735849056603774
14,0.42,0.7068965517241379,0.7784810126582279
15,0.44999999999999996,0.7068965517241379,0.7834394904458599
16,0.48,0.7011494252873564,0.8026315789473685
17,0.51,0.7011494252873564,0.8026315789473685
18,0.54,0.6781609195402298,0.8027210884353742
19,0.57,0.6724137931034483,0.8068965517241379
20,0.6,0.6666666666666666,0.8055555555555556
21,0.63,0.6494252873563219,0.8071428571428572
22,0.6599999999999999,0.6436781609195402,0.8296296296296296
23,0.69,0.6436781609195402,0.8421052631578947
24,0.72,0.6436781609195402,0.8549618320610687
25,0.75,0.6436781609195402,0.8615384615384616
26,0.78,0.6379310344827587,0.8809523809523809
27,0.8099999999999999,0.632183908045977,0.88
28,0.84,0.6091954022988506,0.8907563025210085
29,0.87,0.5919540229885057,0.8956521739130435
30,0.8999999999999999,0.5747126436781609,0.9174311926605505
31,0.9299999999999999,0.5402298850574713,0.9494949494949495
32,0.96,0.5,0.9666666666666667
33,0.99,0.4425287356321839,1.0
